Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
38,1.0,0.0,0.0,1105.0,18.0,138.0,2045.0,0.1,360.0169999999996,0.0,0.0,342.6478991508484,,,,,,,,,,,,,,,,,,,,,159.09209433423365,102.32397277117794,338.73943110465416,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,1154.0,19.0,49.0,2094.0,0.1,114.01000000000005,0.0,0.0,347.59265398979187,,,,,,,,,,,,,,,,,,,,,47.103420916258344,37.87949854491736,111.92567179301757,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,1231.0,20.0,77.0,2171.0,0.1,201.00900000000004,0.0,0.0,355.71786975860596,,,,,,,,,,,,,,,,,,,,,89.36379239049985,62.537401755606965,194.5168271233511,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,55.0,1.0,55.0,2226.0,0.1,138.00800000000004,0.0,0.0,558.2509651184082,,,,,,,,,,,,,,,,,,,,,60.547134296460065,44.35174267617751,134.94766800203075,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,85.0,2.0,30.0,2256.0,0.1,66.00700000000003,0.0,0.0,561.5545430183411,,,,,,,,,,,,,,,,,,,,,27.304876686764807,22.744884569249873,65.3184252314347,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,191.0,3.0,106.0,2362.0,0.1,297.00599999999986,0.0,0.0,572.2659921646118,,,,,,,,,,,,,,,,,,,,,138.29863316888992,86.8630264716755,282.9118857436995,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,239.0,4.0,48.0,2410.0,0.1,123.00600000000003,0.0,0.0,577.272798538208,,,,,,,,,,,,,,,,,,,,,55.61690343601398,39.29409498269362,120.57742290345533,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,286.0,5.0,47.0,2457.0,0.1,120.00600000000003,0.0,0.0,582.1113474369049,,,,,,,,,,,,,,,,,,,,,54.17350041378977,38.434897054826784,117.69511802147682,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,342.0,6.0,56.0,2513.0,0.1,147.00600000000003,0.0,0.0,587.7327783107758,,,,,,,,,,,,,,,,,,,,,67.15322169273288,46.10498927247137,143.5323407343349,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,471.0,7.0,129.0,2642.0,0.1,363.00699999999983,0.0,0.0,600.645632982254,,,,,,,,,,,,,,,,,,,,,167.64004873458276,104.67788780902029,342.06522209220145,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
